episodes,rewards,steps
569,47.0,47
570,41.0,41
571,57.0,57
572,42.0,42
573,106.0,106
574,119.0,119
575,43.0,43
576,39.0,39
577,137.0,137
578,34.0,34
579,50.0,50
580,96.0,96
581,98.0,98
582,32.0,32
583,59.0,59
584,39.0,39
585,58.0,58
586,36.0,36
587,61.0,61
588,61.0,61
589,156.0,156
590,171.0,171
591,30.0,30
592,55.0,55
593,51.0,51
594,141.0,141
595,179.0,179
596,74.0,74
597,61.0,61
598,66.0,66
599,17.0,17
600,51.0,51
601,149.0,149
602,107.0,107
603,61.0,61
604,49.0,49
605,66.0,66
606,88.0,88
607,104.0,104
608,64.0,64
609,80.0,80
610,38.0,38
611,22.0,22
612,29.0,29
613,82.0,82
614,90.0,90
615,200.0,200
616,152.0,152
617,192.0,192
618,62.0,62
619,63.0,63
620,127.0,127
621,84.0,84
622,40.0,40
623,45.0,45
624,86.0,86
625,102.0,102
626,96.0,96
627,35.0,35
628,90.0,90
629,55.0,55
630,52.0,52
631,131.0,131
632,54.0,54
633,16.0,16
634,77.0,77
635,45.0,45
636,57.0,57
637,53.0,53
638,141.0,141
639,118.0,118
640,96.0,96
641,131.0,131
642,151.0,151
643,68.0,68
644,50.0,50
645,61.0,61
646,134.0,134
647,53.0,53
648,71.0,71
649,156.0,156
650,43.0,43
651,121.0,121
652,141.0,141
653,42.0,42
654,191.0,191
655,36.0,36
656,101.0,101
657,29.0,29
658,36.0,36
659,103.0,103
660,194.0,194
661,45.0,45
662,55.0,55
663,123.0,123
664,103.0,103
665,33.0,33
666,52.0,52
667,89.0,89
668,70.0,70
669,83.0,83
670,102.0,102
671,82.0,82
672,101.0,101
673,119.0,119
674,87.0,87
675,90.0,90
676,34.0,34
677,54.0,54
678,200.0,200
679,75.0,75
680,48.0,48
681,61.0,61
682,83.0,83
683,19.0,19
684,73.0,73
685,47.0,47
686,103.0,103
687,27.0,27
688,143.0,143
689,138.0,138
690,25.0,25
691,83.0,83
692,37.0,37
693,200.0,200
694,162.0,162
695,78.0,78
696,62.0,62
697,111.0,111
698,97.0,97
699,58.0,58
700,127.0,127
701,193.0,193
702,19.0,19
703,99.0,99
704,80.0,80
705,120.0,120
706,79.0,79
707,42.0,42
708,137.0,137
709,154.0,154
710,48.0,48
711,72.0,72
712,54.0,54
713,32.0,32
714,200.0,200
715,107.0,107
716,123.0,123
717,78.0,78
718,83.0,83
719,87.0,87
720,59.0,59
721,54.0,54
722,136.0,136
723,149.0,149
724,192.0,192
725,34.0,34
726,109.0,109
727,200.0,200
728,94.0,94
729,40.0,40
730,88.0,88
731,36.0,36
732,57.0,57
733,106.0,106
734,111.0,111
735,200.0,200
736,88.0,88
737,130.0,130
738,73.0,73
739,99.0,99
740,34.0,34
741,79.0,79
742,99.0,99
743,120.0,120
744,22.0,22
745,179.0,179
746,112.0,112
747,110.0,110
748,80.0,80
749,49.0,49
750,134.0,134
751,30.0,30
752,110.0,110
753,52.0,52
754,18.0,18
755,148.0,148
756,104.0,104
757,200.0,200
758,37.0,37
759,148.0,148
760,53.0,53
761,154.0,154
762,112.0,112
763,72.0,72
764,161.0,161
765,200.0,200
766,58.0,58
767,133.0,133
768,169.0,169
769,200.0,200
770,44.0,44
771,28.0,28
772,200.0,200
773,68.0,68
774,68.0,68
775,147.0,147
776,191.0,191
777,54.0,54
778,95.0,95
779,127.0,127
780,200.0,200
781,192.0,192
782,24.0,24
783,136.0,136
784,200.0,200
785,113.0,113
786,42.0,42
787,62.0,62
788,200.0,200
789,166.0,166
790,123.0,123
791,156.0,156
792,100.0,100
793,107.0,107
794,31.0,31
795,30.0,30
796,65.0,65
797,200.0,200
798,65.0,65
799,86.0,86
800,138.0,138
801,200.0,200
802,200.0,200
803,187.0,187
804,42.0,42
805,154.0,154
806,200.0,200
807,42.0,42
808,200.0,200
809,69.0,69
810,115.0,115
811,156.0,156
812,66.0,66
813,124.0,124
814,158.0,158
815,42.0,42
816,105.0,105
817,200.0,200
818,44.0,44
819,198.0,198
820,189.0,189
821,200.0,200
822,100.0,100
823,71.0,71
824,112.0,112
825,200.0,200
826,200.0,200
827,160.0,160
828,101.0,101
829,134.0,134
830,111.0,111
831,200.0,200
832,130.0,130
833,200.0,200
834,95.0,95
835,129.0,129
836,159.0,159
837,123.0,123
838,127.0,127
839,164.0,164
840,62.0,62
841,25.0,25
842,88.0,88
843,200.0,200
844,121.0,121
845,76.0,76
846,126.0,126
847,87.0,87
848,46.0,46
849,33.0,33
850,18.0,18
851,154.0,154
852,72.0,72
853,57.0,57
854,123.0,123
855,200.0,200
856,154.0,154
857,132.0,132
858,115.0,115
859,43.0,43
860,42.0,42
861,156.0,156
862,124.0,124
863,81.0,81
864,125.0,125
865,68.0,68
866,140.0,140
867,71.0,71
868,101.0,101
869,175.0,175
870,176.0,176
871,58.0,58
872,115.0,115
873,105.0,105
874,105.0,105
875,183.0,183
876,28.0,28
877,128.0,128
878,81.0,81
879,162.0,162
880,155.0,155
881,175.0,175
882,109.0,109
883,69.0,69
884,200.0,200
885,200.0,200
886,200.0,200
887,121.0,121
888,114.0,114
889,200.0,200
890,171.0,171
891,117.0,117
892,200.0,200
893,86.0,86
894,39.0,39
895,18.0,18
896,141.0,141
897,200.0,200
898,89.0,89
899,76.0,76
900,145.0,145
901,165.0,165
902,188.0,188
903,138.0,138
904,135.0,135
905,138.0,138
906,73.0,73
907,200.0,200
908,200.0,200
909,200.0,200
910,75.0,75
911,103.0,103
912,200.0,200
913,200.0,200
914,200.0,200
915,200.0,200
916,38.0,38
917,132.0,132
918,200.0,200
919,200.0,200
920,200.0,200
921,186.0,186
922,200.0,200
923,200.0,200
924,38.0,38
925,200.0,200
926,200.0,200
927,200.0,200
928,200.0,200
929,124.0,124
930,200.0,200
931,63.0,63
932,200.0,200
933,193.0,193
934,152.0,152
935,193.0,193
936,180.0,180
937,107.0,107
938,128.0,128
939,188.0,188
940,82.0,82
941,61.0,61
942,87.0,87
943,178.0,178
944,105.0,105
945,60.0,60
946,195.0,195
947,167.0,167
948,68.0,68
949,178.0,178
950,200.0,200
951,200.0,200
952,200.0,200
953,182.0,182
954,107.0,107
955,200.0,200
956,189.0,189
957,58.0,58
958,139.0,139
959,51.0,51
960,66.0,66
961,200.0,200
962,80.0,80
963,133.0,133
964,200.0,200
965,193.0,193
966,132.0,132
967,200.0,200
968,105.0,105
969,200.0,200
970,134.0,134
971,160.0,160
972,200.0,200
973,110.0,110
974,200.0,200
975,112.0,112
976,101.0,101
977,127.0,127
978,103.0,103
979,194.0,194
980,100.0,100
981,69.0,69
982,51.0,51
983,200.0,200
984,200.0,200
985,200.0,200
986,73.0,73
987,195.0,195
988,120.0,120
989,146.0,146
990,79.0,79
991,123.0,123
992,106.0,106
993,190.0,190
994,200.0,200
995,194.0,194
996,175.0,175
997,160.0,160
998,116.0,116
999,123.0,123
1000,157.0,157
1001,200.0,200
1002,99.0,99
1003,110.0,110
1004,200.0,200
1005,200.0,200
1006,135.0,135
1007,195.0,195
1008,200.0,200
1009,89.0,89
1010,156.0,156
1011,200.0,200
1012,97.0,97
1013,179.0,179
1014,72.0,72
1015,123.0,123
1016,200.0,200
1017,200.0,200
1018,183.0,183
1019,197.0,197
1020,92.0,92
1021,88.0,88
1022,68.0,68
1023,114.0,114
1024,200.0,200
1025,180.0,180
1026,200.0,200
1027,167.0,167
1028,200.0,200
1029,126.0,126
1030,149.0,149
1031,151.0,151
1032,138.0,138
1033,130.0,130
1034,154.0,154
1035,121.0,121
1036,200.0,200
1037,200.0,200
1038,67.0,67
1039,165.0,165
1040,200.0,200
1041,200.0,200
1042,200.0,200
1043,200.0,200
