2022-10-30 01:21:01 - r - INFO: - n_states: 4, n_actions: 2
2022-10-30 01:21:01 - r - INFO: - Start training!
2022-10-30 01:21:01 - r - INFO: - Env: CartPole-v1, Algorithm: A2C, Device: cuda
2022-10-30 01:21:08 - r - INFO: - Episode: 121/1600, Reward: 14.00, Steps:14
2022-10-30 01:21:08 - r - INFO: - Episode: 122/1600, Reward: 43.00, Steps:43
2022-10-30 01:21:08 - r - INFO: - Episode: 123/1600, Reward: 35.00, Steps:35
2022-10-30 01:21:09 - r - INFO: - Episode: 124/1600, Reward: 30.00, Steps:30
2022-10-30 01:21:09 - r - INFO: - Episode: 125/1600, Reward: 15.00, Steps:15
2022-10-30 01:21:09 - r - INFO: - Episode: 126/1600, Reward: 33.00, Steps:33
2022-10-30 01:21:09 - r - INFO: - Episode: 127/1600, Reward: 25.00, Steps:25
2022-10-30 01:21:09 - r - INFO: - Episode: 128/1600, Reward: 22.00, Steps:22
2022-10-30 01:21:09 - r - INFO: - Episode: 129/1600, Reward: 43.00, Steps:43
2022-10-30 01:21:09 - r - INFO: - Episode: 130/1600, Reward: 12.00, Steps:12
2022-10-30 01:21:09 - r - INFO: - Episode: 131/1600, Reward: 28.00, Steps:28
2022-10-30 01:21:09 - r - INFO: - Episode: 132/1600, Reward: 21.00, Steps:21
2022-10-30 01:21:09 - r - INFO: - Episode: 133/1600, Reward: 51.00, Steps:51
2022-10-30 01:21:09 - r - INFO: - Episode: 134/1600, Reward: 20.00, Steps:20
2022-10-30 01:21:09 - r - INFO: - Episode: 135/1600, Reward: 21.00, Steps:21
2022-10-30 01:21:09 - r - INFO: - Episode: 136/1600, Reward: 62.00, Steps:62
2022-10-30 01:21:09 - r - INFO: - Episode: 137/1600, Reward: 28.00, Steps:28
2022-10-30 01:21:09 - r - INFO: - Episode: 138/1600, Reward: 33.00, Steps:33
2022-10-30 01:21:09 - r - INFO: - Episode: 139/1600, Reward: 43.00, Steps:43
2022-10-30 01:21:09 - r - INFO: - Episode: 140/1600, Reward: 22.00, Steps:22
2022-10-30 01:21:09 - r - INFO: - Episode: 141/1600, Reward: 10.00, Steps:10
2022-10-30 01:21:09 - r - INFO: - Episode: 142/1600, Reward: 22.00, Steps:22
2022-10-30 01:21:09 - r - INFO: - Episode: 143/1600, Reward: 16.00, Steps:16
2022-10-30 01:21:09 - r - INFO: - Episode: 144/1600, Reward: 49.00, Steps:49
2022-10-30 01:21:09 - r - INFO: - Episode: 145/1600, Reward: 55.00, Steps:55
2022-10-30 01:21:09 - r - INFO: - Episode: 146/1600, Reward: 33.00, Steps:33
2022-10-30 01:21:09 - r - INFO: - Episode: 147/1600, Reward: 29.00, Steps:29
2022-10-30 01:21:09 - r - INFO: - Episode: 148/1600, Reward: 28.00, Steps:28
2022-10-30 01:21:09 - r - INFO: - Episode: 149/1600, Reward: 29.00, Steps:29
2022-10-30 01:21:09 - r - INFO: - Episode: 150/1600, Reward: 21.00, Steps:21
2022-10-30 01:21:09 - r - INFO: - Episode: 151/1600, Reward: 60.00, Steps:60
2022-10-30 01:21:10 - r - INFO: - Episode: 152/1600, Reward: 67.00, Steps:67
2022-10-30 01:21:10 - r - INFO: - Episode: 153/1600, Reward: 34.00, Steps:34
2022-10-30 01:21:10 - r - INFO: - Episode: 154/1600, Reward: 27.00, Steps:27
2022-10-30 01:21:10 - r - INFO: - Episode: 155/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:10 - r - INFO: - Episode: 156/1600, Reward: 21.00, Steps:21
2022-10-30 01:21:10 - r - INFO: - Episode: 157/1600, Reward: 18.00, Steps:18
2022-10-30 01:21:10 - r - INFO: - Episode: 158/1600, Reward: 28.00, Steps:28
2022-10-30 01:21:10 - r - INFO: - Episode: 159/1600, Reward: 24.00, Steps:24
2022-10-30 01:21:10 - r - INFO: - Episode: 160/1600, Reward: 9.00, Steps:9
2022-10-30 01:21:10 - r - INFO: - Episode: 161/1600, Reward: 31.00, Steps:31
2022-10-30 01:21:10 - r - INFO: - Episode: 162/1600, Reward: 11.00, Steps:11
2022-10-30 01:21:10 - r - INFO: - Episode: 163/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:10 - r - INFO: - Episode: 164/1600, Reward: 28.00, Steps:28
2022-10-30 01:21:10 - r - INFO: - Episode: 165/1600, Reward: 41.00, Steps:41
2022-10-30 01:21:10 - r - INFO: - Episode: 166/1600, Reward: 19.00, Steps:19
2022-10-30 01:21:10 - r - INFO: - Episode: 167/1600, Reward: 14.00, Steps:14
2022-10-30 01:21:10 - r - INFO: - Episode: 168/1600, Reward: 16.00, Steps:16
2022-10-30 01:21:10 - r - INFO: - Episode: 169/1600, Reward: 42.00, Steps:42
2022-10-30 01:21:10 - r - INFO: - Episode: 170/1600, Reward: 18.00, Steps:18
